,음식코드명
"갈비찜,돼지,매운양념,떡",27
크린베리,27
"쑥갓나물,두부",27
"김치볶음,햄",27
"된장찌개,달래",26
"콩조림,콩자반(강낭콩포함)",26
"낙지볶음,소고기",26
고추조림,26
"건새우볶음,꽈리고추",26
"기타음료,쑥차등",26
자몽주스,26
대추,26
"물김치,돌나물",26
"라면,치즈",26
깐풍기,26
"서더리탕,우럭",26
죽순초무침,26
마카디미아,25
"빵,크로와상",25
"달걀말이,김",25
"죽,깨죽",25
"스테이크,돼지고기",25
"꼬치구이,돼지고기산적",25
양파즙,25
"샐러드,새싹",25
"도우넛,찹쌀",25
생미역,25
"순대볶음,떡",24
우럭찜,24
석류음료,24
"빵,바게트",24
"샌드위치,소시지",24
구절판,24
모듬회,24
낙지무침,24
연근전,24
"콩나물국,멸치",24
갈치튀김,24
"커피,카페라떼,아이스,카라멜",24
"매운탕,명태",24
"수육,소고기",24
느타리버섯무침(느타리버섯콩나물무침),24
"커피,카페모카,아이스,카라멜,휘핑크림",24
"포도,건포도",24
자반고등어찜,23
민어구이,23
"꼬치구이,닭살",23
시럽,23
"라면,콩나물",23
서대구이,23
머핀,23
"떡,꿀떡",23
"빵,페이스트리",23
"시금치나물,고춧가루",23
전복,23
"소고기,육포",23
조기구이 (기름사용안함),23
우럭구이,23
"생선찌개,홍어",23
다시마조림,23
"감자국,소고기",23
고동조림,22
"떡볶이,카레",22
가자미식해,22
"덮밥,소고기,버섯",22
오미자차,22
건꼴뚜기볶음,22
"한과,산자",22
가리비구이,22
"취나물무침,고춧가루제외",22
"돼지고기가공품,햄",22
"죽,북어죽",22
열무나물,21
소세지조림,21
"카레라이스,채소",21
그라탕,21
"샐러드,참치",21
순대전골,21
마즙,21
"냉면,열무냉면",21
망고,21
치커리,21
"된장국,냉이,두부",21
건빵,21
쉐이크,21
껌,21
호박부침개,21
"생강,초절임",20
유자차,20
"냉채,겨자채",20
번데기탕,20
우럭,20
"명태,북어",20
"소고기볶음,고추장",20
유부국,20
폭찹,20
"스프,양송이스프",20
"달걀말이,채소,고추",20
낙지,20
잣,20
삼계탕(닭백숙),20
"곱창볶음,소",20
장떡,20
"곰탕,꼬리",20
"비름나물,된장",19
"부추무침,고추장",19
"조개젓,양념",19
"된장국,열무",19
센베이,19
샤베트,19
크로켓(고로케),19
"빵,마늘빵(마늘바게트)",19
"쿠키,파이",19
"어리굴젓,양념",19
무,19
적어구이,19
양상추,19
병어구이,18
"된장찌개,조개",18
치즈빵,18
고깃국물육수,18
모자반무침,18
천사채무침,18
"부추무침,양배추",18
인삼차,18
"냉채,콩나물",18
무절임말이,18
"튀각,다시마",18
"죽,홍합미역죽",18
북어강정,18
섞박지,18
"매운탕,잉어",18
"파이,사과파이",17
"갈치젓,양념",17
"스프,크림스프",17
"라면,짬뽕라면",17
"겉절이,시금치",17
굴국,17
만주,17
"분유,조제분유",17
마,17
호박범벅,17
"콩나물무침,부추",17
"한과,약과",17
"우동,해물",17
쑥찜,17
청국장,17
울면,17
"죽,해물미나리죽",17
토란대나물,17
둥굴레차,17
"쌈,모듬쌈",16
"달걀탕,두부",16
명란찌개,16
인삼주스,16
카나페,16
산초가루,16
새우전,16
닭다리구이,16
"염교,장아찌(락교)",16
꿀차,16
"돼지고기가공품,베이컨",16
콜라비,16
호두과자,16
팽이버섯,16
"잡채,콩나물",16
"두부조림,돼지고기",16
"미나리무침,고춧가루제외",16
"비름나물,고추장",16
"샐러드,멕시컨",16
쑥갓,16
새우,16
가자미찜,16
"떡,약식",16
"죽,찹쌀죽",15
헛깨나무차,15
생강,15
미음,15
넙치구이,15
"떡,찹쌀떡(팥속)",15
튀긴쌀(튀밥),15
"아이스크림,썬대",15
핫케이크,15
"도우넛,팥",15
"완자전,참치",15
아보카도,15
닭발구이,15
붕어빵,15
알로에주스,15
딸기바나나주스,15
쑥튀김,14
가자미튀김,14
라면볶음,14
"무말랭이무침,오징어",14
버터,14
국밥,14
"게,꽃게",14
해물볶음,14
미트볼조림,14
연어,14
"게,영덕게",14
피스타치오,14
"낙지탕(맑은탕),연포탕",14
"묵무침,메밀묵",14
머위국,14
영양떡,14
"방풍나물,된장",14
전어,14
잡탕밥,14
쌍화차,14
건갈치조림,14
"돼지고기,간",14
"호박조림,호박김치",14
새우탕,13
어육햄,13
"된장국,조개",13
갈치구이(기름사용안함),13
가지찜,13
"버섯구이,양송이",13
"육개장,버섯",13
쑥전(부침개),13
"죽,흰죽,게살죽",13
고구마음료,13
콩잎,13
멍게,13
호박씨,13
"덮밥,해물",13
"생선튀김,동태",12
임연수찌개,12
"죽,소고기버섯죽",12
파래볶음,12
"매운탕,장어",12
"메기찜,붕어찜",12
병어찌개,12
버섯장아찌,12
"탕수육,새우",12
"복숭아,넥타",12
명란찜,12
"커피,카페라떼,카라멜",12
"떡,증편",12
기타보신식품,12
탕평채,12
유채김치,12
"매운탕,송어",12
문어볶음,12
북어국(북어만),12
"시금치나물,고추장",12
"초밥,도미",11
"닭찜,매운양념",11
은행,11
"전골,야채모듬전골",11
베이글,11
두부김치,11
"바나나,말린것",11
미나리,11
"초밥,우럭",11
풋고추전,11
해바라기씨,11
"미역국,굴",11
"파전,고기",11
충무김밥,11
메밀차,11
감자구이,11
케일,11
"불고기,오징어",11
몸국,11
"초밥,성게알",11
청주,10
청경채,10
"달걀찜,우유",10
"어묵,게맛살",10
옥수수구이,10
"참치,황다랑어",10
"만두,만두탕수",10
소라,10
톳나물초무침,10
무숙장아찌,10
칡즙,10
"매운탕,도미",10
"고등어구이,카레",10
"빵,모카빵",10
크림치즈,10
와플,10
경장식,10
"배추국,들깨",10
"된장국,콩나물",10
엄나물무침,10
"매운탕,가자미",10
"국수,물회",9
호박찜,9
"된장찌개,쑥",9
열갱이구이,9
탕수어,9
완자조림,9
풋마늘무침,9
엿,9
"생강,편강",9
올리브피클,9
"햄버거,치즈버거",9
도우넛,9
"돼지고기,머리고기",9
두부튀김,9
버섯무침,9
홍어,9
